Date,Open,High,Low,Close,Adj Close,Volume,OpenSPY,HighSPY,LowSPY,CloseSPY,AdjCloseSPY,VolumeSPY
2020-01-02,326.100006,329.980011,324.779999,0,329.809998,4485800,323.540009,324.890015,322.529999,0,318.914307,59151200
2020-01-03,326.779999,329.859985,325.529999,-0.011855323,325.899994,3806900,321.160004,323.640015,321.100006,-0.007572232,316.499451,77709700
2020-01-06,323.119995,336.359985,321.200012,0.0182529,335.829987,5663100,320.48999,323.730011,320.359985,-0.003786068,317.706909,55653900
2020-01-07,336.470001,336.700012,330.299988,0.002850132,330.75,4703200,323.019989,323.540009,322.23999,-0.006587201,316.813568,40496400
2020-01-08,331.48999,342.700012,331.049988,0.028652897,339.26001,7104500,322.940002,325.779999,322.670013,-0.001292773,318.502075,68296000
2020-01-09,342,343.420013,334.609985,0.017737504,335.660004,4709300,326.160004,326.730011,325.519989,0.005479112,320.661682,48473300
2020-01-10,337.130005,338.5,327.269989,-0.002304387,329.049988,4718300,327.290009,327.459991,325.200012,0.002585637,319.738922,53029300
2020-01-13,331.799988,340.850006,331.51001,0.02762201,338.920013,6290000,326.390015,327.959991,325.920013,0.009480768,321.937866,47086800
2020-01-14,344.399994,345.380005,335.519989,0.026924605,338.690002,7199400,327.470001,328.619995,326.839996,0.007941691,321.447052,62832800
2020-01-15,338.679993,343.170013,336.600006,0.028076799,339.070007,5158000,327.350006,329.019989,327.26001,0.010219494,322.173462,72056600
2020-01-16,343.5,343.559998,335.850006,0.026712341,338.619995,5016000,329.700012,330.920013,329.450012,0.018622889,324.853424,54050300
2020-01-17,341,341.570007,337.380005,0.029896046,339.670013,6066500,331.700012,332.179993,330.850006,0.021793385,325.864594,95846000
2020-01-21,340,341,332.589996,0.025165965,338.109985,14350300,330.899994,332.179993,330.820007,0.019792511,325.226471,77742400
2020-01-22,332.549988,336.299988,323.600006,-0.0115521,326,21730000,332.23999,332.950012,331.170013,0.019915662,325.265717,48914900
2020-01-23,326.040009,349.880005,325.01001,0.060004269,349.600006,18200300,330.630005,332.170013,329.410004,0.021085376,325.638763,51963000
2020-01-24,348.459991,359.850006,345.880005,0.070798357,353.160004,17939700,332.440002,332.529999,327.359985,0.012004784,322.742828,87578400
2020-01-27,345.950012,351.899994,341.019989,0.039628899,342.880005,7709500,323.029999,325.119995,322.660004,-0.004217056,317.569458,84062500
2020-01-28,345.880005,352.399994,342.779999,0.056729605,348.519989,6821600,325.059998,327.850006,323.600006,0.006217933,320.897308,63834000
2020-01-29,349,349.399994,338.549988,0.040477869,343.160004,7643500,328.380005,328.630005,326.399994,0.00538677,320.632233,53888900
2020-01-30,341.100006,348.200012,339.25,0.05436461,347.73999,5328100,324.359985,327.910004,323.540009,0.008649608,321.672821,75491800
2020-01-31,347.390015,347.390015,340.980011,0.046329699,345.089996,5230000,327,327.170013,320.730011,-0.009665356,315.831909,113845600
2020-02-03,347.23999,359.630005,346.279999,0.085473461,358,6674900,323.350006,326.160004,323.220001,-0.002308616,318.178101,69242300
2020-02-04,361,369.570007,356.100006,0.118856348,369.01001,7161500,328.070007,330.01001,327.720001,0.012897476,323.027496,62573200
2020-02-05,375.130005,375.25,362.299988,0.12085751,369.670013,6437000,332.269989,333.089996,330.670013,0.024594423,326.757843,65951100
2020-02-06,369.600006,371.549988,362.51001,0.112610334,366.950012,3920400,333.910004,334.190002,332.799988,0.028042036,327.85733,50359700
2020-02-07,365.040009,371.799988,363.570007,0.112064495,366.769989,4385200,332.820007,333.98999,331.600006,0.022562924,326.109955,64139400
2020-02-10,365,374.799988,362.519989,0.12510236,371.070007,5294100,331.230011,334.75,331.190002,0.030196688,328.544495,42070000
2020-02-11,373.75,378.109985,369.720001,0.133046312,373.690002,4772900,336.160004,337.019989,334.679993,0.03198207,329.113861,54864500
2020-02-12,377.179993,380.619995,375.880005,0.152208885,380.01001,4624800,336.829987,337.649994,336.429993,0.038630893,331.234283,43992700
2020-02-13,376.959991,385.369995,376.51001,0.156423384,381.399994,4485400,335.859985,338.119995,335.559998,0.037522711,330.880859,54501900
2020-02-14,381.470001,385.149994,379.429993,0.153391335,380.399994,3736300,337.51001,337.730011,336.200012,0.039184939,331.41098,64582200
2020-02-18,379.299988,389.540009,379.190002,0.17576787,387.779999,5173900,336.51001,337.670013,335.209991,0.03650696,330.556915,57226200
2020-02-19,388.119995,392.950012,384.899994,0.170946922,386.190002,4896400,337.790009,339.079987,337.480011,0.041462743,332.13736,48814700
2020-02-20,386.559998,389.700012,376.679993,0.170370827,386,4079400,337.73999,338.640015,333.679993,0.037184157,330.772919,74163400
2020-02-21,385.329987,387.320007,377.899994,0.152390799,380.070007,3930100,335.470001,335.809998,332.579987,0.026502959,327.366516,113788200
2020-02-24,364.76001,372.820007,361,0.117916419,368.700012,6936400,323.140015,333.559998,321.23999,-0.007541423,316.509247,161088400
2020-02-25,372,375.649994,357.720001,0.091810431,360.089996,6471600,323.940002,324.609985,311.690002,-0.03761505,306.918335,218913200
2020-02-26,366.309998,382,365,0.149874147,379.23999,8934100,314.179993,318.109985,310.700012,-0.041154909,305.789459,194773800
2020-02-27,371.459991,391.559998,370.600006,0.127042822,371.709991,10949100,305.459991,311.559998,297.51001,-0.084218258,292.055939,284353500
2020-02-28,364.209991,376.769989,356.799988,0.118916956,369.029999,11178600,288.700012,297.890015,285.540009,-0.088065951,290.828827,385764000
2020-03-02,373.109985,381.359985,364.5,0.155362149,381.049988,6997900,298.209991,309.160004,294.459991,-0.048573273,303.423584,238703600
2020-03-03,381.029999,393.519989,367.399994,0.118128593,368.769989,8364600,309.5,313.839996,297.570007,-0.075814958,294.73587,300139100
2020-03-04,377.769989,384.01001,370.51001,0.163670026,383.790009,5487300,306.119995,313.100006,303.329987,-0.036968665,307.124481,176613400
2020-03-05,381,391.399994,368.640015,0.130287139,372.779999,8747000,304.980011,308.470001,300.01001,-0.068981452,296.915161,186366800
2020-03-06,367.700012,371.309998,356.850006,0.118735039,368.970001,8147200,293.149994,298.779999,290.230011,-0.084372224,292.006836,228667200
2020-03-09,343.859985,357.470001,341.720001,0.050574549,346.48999,7405500,275.299988,284.190002,273.450012,-0.155877689,269.202698,309417300
2020-03-10,356.429993,364.540009,347.850006,0.104059935,364.130005,7604400,284.640015,288.519989,273.5,-0.112198672,283.132568,276444100
2020-03-11,358.920013,362.980011,344.790009,0.060974546,349.920013,6036000,280.700012,281.940002,270.880005,-0.155477609,269.330322,255316300
2020-03-12,326.5,335.720001,307.320007,-0.044146624,315.25,12071600,256,266.660004,247.679993,-0.236279112,243.561539,392220700
2020-03-13,330.51001,336.420013,307.390015,0.019677966,336.299988,9458200,263.089996,271.480011,248.520004,-0.170991439,264.38269,329566100
2020-03-16,306.630005,334.350006,294.75,-0.093902557,298.839996,10559900,241.179993,256.899994,237.360001,-0.261704652,235.452972,297240000
2020-03-17,306.190002,322.899994,290.25,-0.030502405,319.75,10013900,245.039993,256.170013,237.070007,-0.221842562,248.165558,262070500
2020-03-18,302.399994,331.579987,300,-0.04347957,315.470001,12593600,236.25,248.369995,228.020004,-0.261242947,235.600204,327597100
2020-03-19,324.329987,348.51001,316.820007,0.006731151,332.029999,10616000,239.25,247.380005,232.220001,-0.259673104,236.100845,289322000
2020-03-20,342.309998,350.48999,332,0.009156754,332.829987,10853800,242.529999,244.470001,228.5,-0.295718267,225.926285,347158800
2020-03-23,347.890015,366.109985,340.880005,0.092356178,360.269989,13449400,228.190002,229.679993,218.259995,-0.313725489,220.14975,326025200
2020-03-24,369.98999,372.929993,353.029999,0.083411689,357.320007,11638700,234.419998,244.100006,233.800003,-0.25154678,240.096039,235494500
2020-03-25,361.019989,362,339.170013,0.038143225,342.390015,8767200,244.869995,256.350006,239.75,-0.240342301,243.690323,299430300
2020-03-26,344,363.839996,341.730011,0.100603354,362.98999,7229600,249.520004,262.799988,249.050003,-0.195986037,257.919342,257632800
2020-03-27,359.089996,368.559998,353,0.082805243,357.119995,7948800,253.270004,260.809998,251.050003,-0.219934122,250.237045,224341200
2020-03-30,363,377.799988,361.170013,0.124768786,370.959991,8622000,255.699997,262.429993,253.529999,-0.194600923,258.363678,171369500
2020-03-31,367.929993,383.01001,366.440002,0.138534315,375.5,9366500,260.559998,263.329987,256.220001,-0.206605707,254.51268,194881100
2020-04-01,376.049988,380.230011,361.019989,0.103908278,364.079987,6672500,247.979996,257.660004,243.899994,-0.242312316,243.058365,189554600
2020-04-02,364.079987,370.98999,360.059998,0.122100571,370.079987,4592500,245.190002,252.679993,244.589996,-0.224828375,248.667038,177660400
2020-04-03,367.470001,370.899994,357.51001,0.096873995,361.76001,4860800,250.759995,253.320007,245.220001,-0.236032857,245.072754,135561200
2020-04-06,365.220001,380.290009,361.709991,0.152057225,379.959991,8183900,257.839996,267,248.169998,-0.184720075,261.533356,188061200
2020-04-07,380,381.329987,369.339996,0.128771114,372.279999,7046400,274.209991,275.029999,264.890015,-0.183888912,261.799988,201427200
2020-04-08,374.01001,378.390015,368.309998,0.125253926,371.119995,6908900,267.959991,276,265.25,-0.156493357,270.588196,153774500
2020-04-09,371.059998,372.100006,363.029999,0.124041124,370.720001,7711300,277.579987,281.200012,275.470001,-0.143657413,274.705811,190282700
2020-04-13,371.309998,400.51001,367.700012,0.202874393,396.720001,11692900,277.140015,277.51001,271.410004,-0.15147595,272.197723,114839100
2020-04-14,397.5,417.820007,394.850006,0.253903734,413.549988,11581000,280.980011,284.899994,275.51001,-0.126450539,280.225616,134143400
2020-04-15,413,434.980011,412.25,0.293926814,426.75,13561200,277.570007,283.940002,275.459991,-0.145011807,274.271362,121775000
2020-04-16,437,449.519989,431.609985,0.331584899,439.170013,16128700,279.149994,280.029999,275.76001,-0.140887092,275.594513,131798300
2020-04-17,431,432,414.700012,0.282435322,422.959991,12616300,285.380005,287.299988,282.399994,-0.117677781,283.039795,146684800
2020-04-20,435.170013,444.48999,430.559998,0.326490988,437.48999,12655800,282.609985,286.790009,281.350006,-0.133222519,278.053223,100109300
2020-04-21,444.769989,447,425.600006,0.31539368,433.829987,23177600,276.730011,278.040009,272.019989,-0.159540699,269.610626,126385700
2020-04-22,429.730011,433,413,0.277766034,421.420013,21123800,278.350006,281,276.910004,-0.140887092,275.594513,93524600
2020-04-23,419.26001,438.410004,419.26001,0.293775248,426.700012,13952300,280.48999,283.940002,278.75,-0.140948714,275.574738,104709700
2020-04-24,425,427.170013,415.880005,0.288590378,424.98999,8670400,280.730011,283.700012,278.5,-0.12897465,279.415924,85166000
2020-04-27,425,429,420.839996,0.277644727,421.380005,6277500,285.119995,288.269989,284.619995,-0.11641582,283.444672,77896600
2020-04-28,419.98999,421,402.910004,0.224432217,403.829987,10101200,291.019989,291.399994,285.399994,-0.120478913,282.141235,105270000
2020-04-29,399.529999,415.859985,393.600006,0.248870615,411.890015,9693100,291.529999,294.880005,290.410004,-0.09745438,289.527283,118745600
2020-04-30,410.309998,424.440002,408,0.273005696,419.850006,7939400,291.709991,293.320007,288.589996,-0.10585768,286.831604,122901700
2020-05-01,415.100006,427.970001,411.730011,0.259118861,415.269989,8299900,285.309998,290.660004,281.519989,-0.129528693,279.238159,125180000
2020-05-04,417.779999,428.540009,414.869995,0.298171664,428.149994,7799100,280.73999,283.899994,279.130005,-0.127127739,280.008392,80873200
2020-05-05,427.559998,431,421.559998,0.287650452,424.679993,6286300,286.640015,289.25,283.709991,-0.11906299,282.595459,79569900
2020-05-06,429.299988,439.769989,426.390015,0.316697531,434.26001,6660700,288.040009,288.459991,283.779999,-0.125034616,280.67984,73632600
2020-05-07,436.890015,438.880005,430.660004,0.323580248,436.529999,5641900,287.75,289.779999,287.130005,-0.114476568,284.066742,75250400
2020-05-08,434.140015,442,433.640015,0.320608807,435.549988,5054300,291.089996,292.950012,289.859985,-0.099824525,288.766968,76622100
2020-05-11,436.329987,444.890015,435.559998,0.335678092,440.519989,5486000,290.339996,294,289.880005,-0.099639842,288.826202,79514200
2020-05-12,442,444.170013,431.359985,0.309299323,431.820007,4598200,293.790009,294.23999,286.519989,-0.117585442,283.069458,95870800
2020-05-13,435.690002,447,427.269989,0.328855983,438.269989,7014600,286.059998,287.190002,278.959991,-0.133191706,278.06311,144721100
2020-05-14,444.899994,452.380005,432.820007,0.340013992,441.950012,9007500,278.950012,285.109985,272.98999,-0.122818342,281.390808,121977900
2020-05-15,440.700012,455,437.51001,0.377126239,454.190002,7244000,282.369995,286.329987,281.339996,-0.118785965,282.684357,111146300
2020-05-18,451.160004,456.359985,443.350006,0.372244595,452.579987,7780300,293.049988,296.75,292.700012,-0.091944456,291.2948,120320200
2020-05-19,453.399994,458.970001,450.470001,0.367575306,451.040009,4810500,294.350006,296.209991,291.950012,-0.101271261,288.302856,95189300
2020-05-20,454.25,455.809998,444,0.357357314,447.670013,5607300,295.820007,297.869995,295.570007,-0.08600364,293.200562,85861700
2020-05-21,448.559998,448.959991,430.25,0.322731278,436.25,9117300,296.790009,297.670013,293.690002,-0.092313819,291.176331,78293900
2020-05-22,437,439.089996,427.179993,0.301719201,429.320007,5422300,294.570007,295.630005,293.220001,-0.090590062,291.729309,63958200
2020-05-26,427.769989,428.5,413.140015,0.257602837,414.769989,7881100,301.929993,302.190002,295.459991,-0.079385626,295.323547,88951400
2020-05-27,410.380005,420.019989,397.859985,0.273127005,419.890015,10446300,302.119995,303.570007,296.869995,-0.065687802,299.717682,104817400
2020-05-28,417.23999,422.369995,411.5,0.253570251,413.440002,5655100,304.649994,306.839996,302.23999,-0.067411563,299.164703,90405200
2020-05-29,417.459991,420.299988,411.850006,0.272641865,419.730011,5270500,302.459991,304.959991,299.470001,-0.063256036,300.497772,119265700
2020-06-01,418.829987,426.720001,415.980011,0.291410253,425.920013,3743700,303.619995,306.209991,303.059998,-0.059469964,301.71228,55758300
2020-06-02,425.869995,427.589996,419.459991,0.295624755,427.309998,3494800,306.549988,308.130005,305.100006,-0.051682237,304.21048,74267200
2020-06-03,426.950012,427.100006,418.049988,0.279433624,421.970001,4316000,310.23999,313.220001,309.940002,-0.039061785,308.259033,92567600
2020-06-04,422.390015,428.709991,410.029999,0.256268729,414.329987,5410500,311.109985,313,309.079987,-0.041585897,307.44931,75794400
2020-06-05,407.290009,420.23999,404.25,0.272247684,419.600006,5099600,317.230011,321.269989,317.160004,-0.017022191,315.329071,150524700
2020-06-08,416,420.799988,406.5,0.27191411,419.48999,5851500,320.220001,323.410004,319.630005,-0.005140465,319.140625,73641200
2020-06-09,421.649994,434.730011,420.309998,0.316060734,434.049988,6797000,320.299988,323.279999,319.359985,-0.012558827,316.760895,77479200
2020-06-10,436,439.690002,430.549988,0.317364585,434.480011,4896900,321.420013,322.390015,318.220001,-0.018068751,314.993378,95000800
2020-06-11,428.200012,445.570007,424.160004,0.29031867,425.559998,7462900,311.459991,312.149994,300.01001,-0.074676056,296.834351,209243600
2020-06-12,429,434.059998,412.450012,0.267608652,418.070007,6457400,308.23999,309.079987,298.600006,-0.063594682,300.38913,194678900
2020-06-15,421.399994,426.48999,415.420013,0.290136753,425.5,4467900,298.019989,308.279999,296.73999,-0.054852733,303.193451,135782700
2020-06-16,425.76001,437.959991,425.179993,0.322367447,436.130005,5507900,315.480011,315.640015,307.670013,-0.036660831,309.029236,137627500
2020-06-17,441.820007,450.459991,439.220001,0.357660446,447.769989,6522400,314.070007,314.390015,310.859985,-0.040662392,307.745544,83398900
2020-06-18,448.730011,452.76001,442.799988,0.364027767,449.869995,4277600,310.01001,312.299988,309.51001,-0.040293029,307.864044,80828700
2020-06-19,449.119995,453.970001,445.600006,0.375701173,453.720001,5934500,314.170013,314.380005,306.529999,-0.049958384,306.104645,135549600
2020-06-22,455.01001,468.589996,454.209991,0.419120135,468.040009,6272100,307.98999,311.049988,306.75,-0.0438637,308.068359,74649400
2020-06-23,466.5,474.01001,464.5,0.413723092,466.26001,5948400,313.48999,314.5,311.609985,-0.039461961,309.486603,68471200
2020-06-24,468.540009,472.359985,454,0.388223549,457.850006,4826200,309.839996,310.51001,302.100006,-0.063964045,301.59201,132813500
2020-06-25,458.859985,467.01001,454,0.412661856,465.910004,4134500,303.470001,307.640015,301.279999,-0.053929231,304.825226,89468000
2020-06-26,466.390015,468.029999,442.23999,0.344410408,443.399994,6804700,306.160004,306.390015,299.420013,-0.076399813,297.585205,127961000
2020-06-29,445.230011,447.670013,432.140015,0.356053463,447.23999,4844000,301.410004,304.609985,298.929993,-0.062825143,301.958954,79773300
2020-06-30,450.019989,457.589996,447,0.379703501,455.040009,4198500,303.98999,310.200012,303.820007,-0.05082036,305.826904,113394800
2020-07-01,454,488.230011,454,0.472484212,485.640015,9705900,309.570007,311.890015,309.070007,-0.044171534,307.969177,72396500
2020-07-02,485.640015,492.279999,475.529999,0.445953785,476.890015,6351500,314.23999,315.700012,311.51001,-0.038907822,309.665131,69344200
2020-07-06,480.769989,499.5,479.799988,0.497255999,493.809998,7839000,316.369995,317.679993,315.559998,-0.024071189,314.445557,61713800
2020-07-07,497.309998,504.820007,490.829987,0.495285185,493.160004,5669900,315.380005,317.519989,313.369995,-0.03413672,311.202423,82910000
2020-07-08,498.579987,505.100006,493.809998,0.524453479,502.779999,5691700,314.609985,316.299988,312.700012,-0.026749168,313.582672,54638600
2020-07-09,508.399994,510,495.779999,0.539553116,507.76001,5840500,316.839996,317.100006,310.679993,-0.032289809,311.797455,83354200
2020-07-10,519.72998,555.880005,511.279999,0.663776063,548.72998,21605600,314.309998,317.880005,312.76001,-0.022408961,314.98111,57550400
2020-07-13,567.97998,575.369995,520.960022,0.593341631,525.5,18399000,320.130005,322.709991,314.130005,-0.030873885,312.253693,102997500
2020-07-14,517.080017,525.5,490.48999,0.591461776,524.880005,15083300,313.299988,319.76001,312,-0.018314963,316.300201,93657000
2020-07-15,516.299988,529,510.179993,0.586549872,523.26001,10066700,322.410004,323.040009,319.269989,-0.009295992,319.206116,87196500
2020-07-16,526.47998,535.539978,504.359985,0.599072248,527.390015,24499000,319.790009,321.279999,319.089996,-0.012558827,318.154846,54622500
2020-07-17,494.869995,503.589996,484.140015,0.494769695,492.98999,24991400,321.880005,322.570007,319.73999,-0.009696168,319.077179,62774900
2020-07-20,489.140015,504.5,484.200012,0.523331637,502.410004,11940300,321.429993,325.130005,320.619995,-0.001692948,321.655823,56308800
2020-07-21,506,506.220001,488.609985,0.486007122,490.100006,9127200,326.450012,326.929993,323.940002,0.000430988,322.340179,57499000
2020-07-22,492.190002,497.200012,487.200012,0.485158152,489.820007,6954100,324.619995,327.200012,324.5,0.006125496,324.174957,57792900
2020-07-23,491.130005,491.899994,472.019989,0.448045814,477.579987,7722000,326.470001,327.230011,321.480011,-0.005879287,320.306976,75738000
2020-07-24,468.769989,487.170013,467.540009,0.45674787,480.450012,7746200,320.950012,321.98999,319.25,-0.012281805,318.24408,73766600
2020-07-27,484.51001,496.920013,482.309998,0.502834957,495.649994,7863100,321.630005,323.410004,320.769989,-0.005078936,320.56485,48293000
2020-07-28,496.019989,497.790009,487.76001,0.481186177,488.51001,5986700,322.429993,323.640015,320.850006,-0.011389116,318.531708,57495000
2020-07-29,492.25,494.920013,484.130005,0.468967023,484.480011,6611800,322.119995,325.730011,322.079987,0.000769539,322.449249,48454200
2020-07-30,480.709991,488.350006,477.51001,0.472969258,485.799988,6608600,321.899994,324.410004,319.640015,-0.002801133,321.298767,61861700
2020-07-31,488.290009,494.799988,484.5,0.48230802,488.880005,5924300,325.899994,326.630005,321.329987,0.005078936,323.837738,85210800
2020-08-03,490.859985,503.089996,490.230011,0.511840144,498.619995,5873100,328.320007,329.619995,327.730011,0.012066408,326.089111,53077900
2020-08-04,498.649994,510.440002,498.649994,0.545253383,509.640015,5608000,327.859985,330.059998,327.859985,0.01597563,327.348663,41917900
2020-08-05,508.679993,510.100006,501.200012,0.522421964,502.109985,4313500,331.470001,332.390015,331.179993,0.022285807,329.381805,42866400
2020-08-06,504.109985,510.820007,498.700012,0.54355535,509.079987,3725900,331.480011,334.459991,331.130005,0.029119316,331.583588,43679400
2020-08-07,505.450012,508.290009,486.679993,0.500045523,494.730011,5906700,333.279999,334.880005,332.299988,0.029858134,331.821655,57308300
2020-08-10,493.350006,497.459991,478.630005,0.465631751,483.380005,4691200,335.059998,335.769989,332.959991,0.032936289,332.813416,44282100
2020-08-11,479.75,480.920013,466.549988,0.415754513,466.929993,7329200,336.850006,337.540009,332.01001,0.024409743,330.066162,69601100
2020-08-12,471.339996,482.48999,470.179993,0.441648233,475.470001,5441200,335.440002,338.279999,335.410004,0.038692422,334.66806,53826100
2020-08-13,478.399994,484.450012,476.450012,0.459415997,481.329987,3008900,336.609985,338.25,335.829987,0.036814702,334.063019,41816100
2020-08-14,482.820007,488.329987,480.209991,0.463509281,482.679993,2943500,336.410004,337.420013,335.619995,0.036845511,334.072968,47260400
2020-08-17,484.190002,486.23999,479.100006,0.462508744,482.350006,2423500,337.940002,338.339996,336.850006,0.040139161,335.134186,35481000
2020-08-18,484.350006,495.299988,482.799988,0.491373815,491.869995,3505500,338.339996,339.100006,336.609985,0.042386247,335.858215,38733900
2020-08-19,493.929993,494.5,483.5,0.469118589,484.529999,3156200,339.049988,339.609985,336.619995,0.038046037,334.459778,68054200
2020-08-20,484.690002,498.940002,483.890015,0.509657066,497.899994,5132500,335.359985,338.799988,335.220001,0.041278063,335.50116,42207800
2020-08-21,496.459991,498.130005,490,0.492707926,492.309998,3921300,337.920013,339.720001,337.549988,0.044971885,336.691284,55106600
2020-08-24,495.440002,501,483.160004,0.482095755,488.809998,4762200,342.119995,343,339.450012,0.055560742,340.103058,48588700
